Time,Load,Crosshead,Extensometer
0.259,68.16289,0.005062,0.000758
0.359,98.75478,0.007504,0.00115
0.459,130.2827,0.010006,0.001534
0.559,160.9622,0.012507,0.001883
0.659,190.673,0.014949,0.002241
0.759,218.9776,0.017391,0.002686
0.859,247.233,0.019952,0.002938
0.959,271.8654,0.022394,0.003243
1.059,296.7791,0.024836,0.003585
1.159,323.1722,0.027337,0.003915
1.259,348.5078,0.029779,0.004248
1.359,373.179,0.032281,0.004575
1.459,396.6642,0.034782,0.004797
1.559,420.176,0.037284,0.005159
1.659,443.8811,0.039785,0.005359
1.759,467.9744,0.042287,0.005725
1.859,491.9815,0.044788,0.006036
1.959,515.6133,0.04723,0.006304
2.059,539.0563,0.049731,0.00658
2.159,562.8104,0.052233,0.00682
2.259,585.6492,0.054675,0.00718
2.359,608.816,0.057176,0.007456
2.459,631.0664,0.059737,0.00768
2.559,653.1712,0.062179,0.007864
2.659,674.9521,0.064621,0.008197
2.759,696.6019,0.067123,0.008452
2.859,718.6899,0.069624,0.008758
2.959,739.994,0.072066,0.008979
3.059,761.5269,0.074567,0.009205
3.159,783.5071,0.077128,0.009531
3.259,803.5221,0.07957,0.009792
3.359,823.6616,0.082072,0.010026
3.459,844.1086,0.084633,0.010285
3.559,863.4353,0.087075,0.010493
3.659,883.2169,0.089576,0.010786
3.759,904.0526,0.092137,0.011061
3.859,923.079,0.094639,0.011244
3.959,941.6675,0.097081,0.011407
4.059,960.9302,0.099642,0.011714
4.159,979.5011,0.102143,0.011912
4.259,996.8799,0.104585,0.012184
4.359,1014.298,0.107086,0.012358
4.459,1032.605,0.109647,0.012616
4.559,1049.341,0.11203,0.012768
4.659,1066.586,0.114531,0.013002
4.759,1083.918,0.117033,0.013261
4.859,1099.95,0.119534,0.013398
4.959,1115.463,0.121976,0.0136
5.059,1131.975,0.124537,0.013798
5.159,1147.637,0.127038,0.013972
5.259,1161.442,0.12948,0.014116
5.359,1176.804,0.132041,0.014439
5.459,1192.099,0.134543,0.014462
5.559,1206.221,0.136985,0.014722
5.659,1220.885,0.139546,0.014816
5.759,1234.989,0.142047,0.015056
5.859,1248.084,0.144489,0.015259
5.959,1261.401,0.146991,0.01541
