Time [min],Elongation [mm],Strain [mm/mm],μStrain [mm/mm]
0,0.014,0.0005503144654,550.3144654
1,0.024,0.0009433962264,943.3962264
2,0.0309,0.001214622642,1214.622642
3,0.036,0.00141509434,1415.09434
4,0.041,0.00161163522,1611.63522
5,0.0445,0.001749213836,1749.213836
6,0.0475,0.001867138365,1867.138365
7,0.0508,0.001996855346,1996.855346
8,0.0532,0.002091194969,2091.194969
9,0.0558,0.002193396226,2193.396226
10,0.0581,0.002283805031,2283.805031
11,0.06,0.002358490566,2358.490566
12,0.0622,0.002444968553,2444.968553
13,0.0644,0.002531446541,2531.446541
14,0.0663,0.002606132075,2606.132075
15,0.0679,0.002669025157,2669.025157
20,0.0759,0.002983490566,2983.490566
25,0.0825,0.003242924528,3242.924528
30,0.0885,0.003478773585,3478.773585
35,0.0936,0.003679245283,3679.245283
40,0.0983,0.003863993711,3863.993711
