Points,Time [s],Disp [mm],Load [N]
1,0.00000,-1.733910,-4.04
2,0.00500,-1.816621,-4.48
3,0.01000,-1.831480,-4.39
4,0.01500,-1.785008,-3.75
5,0.02000,-1.672047,-2.78
6,0.02500,-1.491617,-1.74
7,0.03000,-1.230536,-0.79
8,0.03500,-0.928460,-0.16
9,0.04000,-0.633131,0.23
10,0.04500,-0.374833,0.19
11,0.05000,-0.174514,0.04
12,0.05500,-0.075248,0.03
13,0.06000,-0.081678,0.05
14,0.06500,-0.190026,0.04
15,0.07000,-0.376256,0.04
16,0.07500,-0.613447,-0.10
17,0.08000,-0.877788,-0.65
18,0.08500,-1.140248,-1.39
19,0.09000,-1.386834,-2.29
20,0.09500,-1.588868,-3.24
1,0.10000,-1.734323,-4.05
2,0.10500,-1.816488,-4.48
3,0.11000,-1.831399,-4.37
4,0.11500,-1.785001,-3.76
5,0.12000,-1.672024,-2.77
6,0.12500,-1.490686,-1.72
7,0.13000,-1.230634,-0.80
8,0.13500,-0.929039,-0.16
9,0.14000,-0.633247,0.23
10,0.14500,-0.374436,0.18
11,0.15000,-0.173994,0.04
12,0.15500,-0.075474,0.04
13,0.16000,-0.081887,0.04
14,0.16500,-0.190070,0.04
15,0.17000,-0.376211,0.03
16,0.17500,-0.613464,-0.10
17,0.18000,-0.878083,-0.63
18,0.18500,-1.140448,-1.39
19,0.19000,-1.387157,-2.27
20,0.19500,-1.589120,-3.24
1,0.20000,-1.734081,-4.04
2,0.20500,-1.816441,-4.45
3,0.21000,-1.831377,-4.37
4,0.21500,-1.784910,-3.76
5,0.22000,-1.671996,-2.77
6,0.22500,-1.491054,-1.73
7,0.23000,-1.230532,-0.78
8,0.23500,-0.928652,-0.16
9,0.24000,-0.632965,0.21
10,0.24500,-0.374526,0.18
11,0.25000,-0.173952,0.05
12,0.25500,-0.075349,0.04
13,0.26000,-0.082000,0.03
14,0.26500,-0.189905,0.05
15,0.27000,-0.376124,0.03
16,0.27500,-0.613406,-0.10
17,0.28000,-0.878161,-0.62
18,0.28500,-1.140654,-1.37
19,0.29000,-1.387134,-2.28
20,0.29500,-1.589101,-3.21
1,0.30000,-1.734177,-4.02
