Points,Time [s],Disp [mm],Load [N]
1,0,-0.003066,0.03
2,0.005,-0.002793,0.04
3,0.01,-0.028542,0.03
4,0.015,-0.147979,-0.09
5,0.02,-0.343741,-0.28
6,0.025,-0.583996,-0.86
7,0.03,-0.842326,-1.7
8,0.035,-1.107849,-2.71
9,0.04,-1.358518,-3.76
10,0.045,-1.570066,-4.72
11,0.05,-1.726633,-5.4
12,0.055,-1.818739,-5.66
13,0.06,-1.842311,-5.44
14,0.065,-1.796094,-4.66
15,0.07,-1.684362,-3.54
16,0.075,-1.50589,-2.38
17,0.08,-1.244661,-1.3
18,0.085,-0.943295,-0.56
19,0.09,-0.645793,-0.07
20,0.095,-0.388897,0.25
1,0.1,-0.200356,0.27
2,0.105,-0.095334,0.08
3,0.11,-0.083173,0.05
4,0.115,-0.182518,0.04
5,0.12,-0.373431,-0.1
6,0.125,-0.605475,-0.54
7,0.13,-0.857632,-1.21
8,0.135,-1.122229,-2.05
9,0.14,-1.374209,-3.05
10,0.145,-1.579267,-4.07
11,0.15,-1.726011,-4.85
12,0.155,-1.812624,-5.25
13,0.16,-1.832756,-5.1
14,0.165,-1.787564,-4.41
15,0.17,-1.676766,-3.34
16,0.175,-1.498051,-2.21
17,0.18,-1.239222,-1.2
18,0.185,-0.937774,-0.47
19,0.19,-0.641179,-0.01
20,0.195,-0.385424,0.24
1,0.2,-0.195133,0.17
2,0.205,-0.088148,0.04
3,0.21,-0.085651,0.05
4,0.215,-0.1828,0.04
5,0.22,-0.376194,-0.06
6,0.225,-0.607395,-0.43
7,0.23,-0.860715,-1.08
8,0.235,-1.12752,-1.91
9,0.24,-1.375429,-2.89
10,0.245,-1.582107,-3.9
11,0.25,-1.727888,-4.69
12,0.255,-1.811652,-5.09
13,0.26,-1.83307,-4.99
14,0.265,-1.785257,-4.3
15,0.27,-1.67524,-3.25
16,0.275,-1.497194,-2.15
17,0.28,-1.23644,-1.11
18,0.285,-0.937029,-0.42
19,0.29,-0.639554,0.03
20,0.295,-0.38377,0.26
1,0.3,-0.1931,0.12
2,0.305,-0.083156,0.05
3,0.31,-0.087398,0.04
4,0.315,-0.183172,0.05
5,0.32,-0.375162,-0.03
6,0.325,-0.61,-0.41
7,0.33,-0.862489,-1.01
8,0.335,-1.129351,-1.84
9,0.34,-1.376605,-2.8
10,0.345,-1.582714,-3.79
11,0.35,-1.729633,-4.61
12,0.355,-1.811439,-5.01
13,0.36,-1.832742,-4.89
14,0.365,-1.785239,-4.24
15,0.37,-1.6741,-3.19
16,0.375,-1.497176,-2.09
17,0.38,-1.235719,-1.08
18,0.385,-0.935845,-0.38
19,0.39,-0.639144,0.05
20,0.395,-0.382111,0.26
1,0.4,-0.191425,0.12
2,0.405,-0.081467,0.04
3,0.41,-0.086436,0.03
4,0.415,-0.184257,0.05
5,0.42,-0.374955,0
6,0.425,-0.61117,-0.36
7,0.43,-0.86391,-0.98
8,0.435,-1.130149,-1.79
9,0.44,-1.378343,-2.75
10,0.445,-1.58321,-3.74
11,0.45,-1.730284,-4.55
12,0.455,-1.811872,-4.94
13,0.46,-1.832275,-4.85
14,0.465,-1.78532,-4.18
15,0.47,-1.673456,-3.15
16,0.475,-1.496115,-2.06
17,0.48,-1.235147,-1.06
18,0.485,-0.935328,-0.36
19,0.49,-0.638757,0.06
20,0.495,-0.381117,0.26
1,0.5,-0.189927,0.08
2,0.505,-0.080429,0.05
3,0.51,-0.085947,0.05
4,0.515,-0.184948,0.04
5,0.52,-0.374876,0.01
6,0.525,-0.611858,-0.32
7,0.53,-0.865416,-0.95
8,0.535,-1.130857,-1.74
9,0.54,-1.37904,-2.71
10,0.545,-1.583349,-3.68
11,0.55,-1.730507,-4.49
12,0.555,-1.812483,-4.91
13,0.56,-1.832121,-4.8
14,0.565,-1.785439,-4.15
15,0.57,-1.673372,-3.12
16,0.575,-1.495878,-2.03
17,0.58,-1.234526,-1.02
18,0.585,-0.934481,-0.36
19,0.59,-0.638376,0.08
20,0.595,-0.380665,0.25
1,0.6,-0.188607,0.1
2,0.605,-0.079547,0.04
3,0.61,-0.085525,0.04
4,0.615,-0.185737,0.04
5,0.62,-0.374807,0.01
6,0.625,-0.612262,-0.3
7,0.63,-0.866537,-0.92
8,0.635,-1.131259,-1.7
9,0.64,-1.379808,-2.66
10,0.645,-1.58392,-3.65
11,0.65,-1.731004,-4.46
12,0.655,-1.812741,-4.86
13,0.66,-1.831865,-4.77
14,0.665,-1.785316,-4.11
15,0.67,-1.673134,-3.08
16,0.675,-1.495092,-2.01
17,0.68,-1.234292,-1
18,0.685,-0.93429,-0.35
19,0.69,-0.638083,0.1
