Time,Elongation,Load
0,0.000113692,47.6074
0.109851,0.000120263,106.964
0.439404,0.000136058,185.242
0.494329,0.000153851,240.097
0.549255,0.000170613,311.432
0.659106,0.000185522,360.87
0.714031,0.000195166,415.421
0.823882,0.000209239,463.257
0.878808,0.000223761,508.652
0.933733,0.000231875,557.861
1.043584,0.00023854,605.087
1.153435,0.000247439,669.022
1.208361,0.000257763,734.482
1.263286,0.000226803,798.492
1.373137,0.000240522,855.865
1.482988,0.000248737,914.917
1.537914,0.000266109,972.214
1.592839,0.000272242,1022.11
1.70269,0.000286793,1085.36
1.757616,0.000297017,1139.6
1.812541,0.000312948,1194.38
1.922392,0.000324887,1251.91
1.977318,0.000340529,1301.73
2.032243,0.000351633,1350.71
2.142094,0.000364692,1403.2
2.251945,0.000380783,1462.78
2.306871,0.000397029,1506.65
2.361796,0.000413217,1554.41
2.471647,0.000428404,1606.22
2.526573,0.00043976,1654.74
2.636424,0.000456027,1715.09
2.691349,0.00047281,1767.73
2.746275,0.000488851,1815.64
2.856126,0.00050145,1869.28
2.965977,0.00051663,1921.39
3.075828,0.000529905,1972.43
3.185679,0.000544153,2027.97
3.29553,0.000559437,2077.33
3.405381,0.000573862,2130.74
3.515232,0.000589876,2181.78
3.625083,0.000609344,2229.39
3.680008,0.000623968,2279.36
3.734934,0.000643708,2324.07
3.844785,0.00066002,2370.83
3.954636,0.000674574,2416.84
4.064486,0.00068991,2466.97
4.174337,0.000708059,2522.05
4.284188,0.000726221,2567.75
4.394039,0.000741028,2619.63
4.448965,0.000763157,2669.98
4.558816,0.000779963,2721.33
4.668667,0.000794553,2774.35
4.778518,0.000814571,2826.61
4.833443,0.000834935,2879.18
4.943294,0.000854734,2931.14
5.053145,0.000874733,2988.05
5.162996,0.000897025,3040.92
5.272847,0.000921001,3098.98
5.382698,0.000940764,3148.96
5.492549,0.000968194,3206.25
5.6024,0.000982665,3258.9
5.712251,0.00101192,3315.51
5.822102,0.001037445,3375.47
5.931953,0.0010564,3429.87
6.041804,0.001086194,3487.78
6.151655,0.001113907,3545.53
6.261506,0.001139713,3609.08
6.371357,0.00116946,3666.38
6.481208,0.001199589,3724.52
6.591059,0.001227507,3774.41
